regime,pair,ma,mb,premium,mo_per_path,clearance_prob,degenerate
bivariate,kappa+phi,0.5,0.5,0.34746945272350316,0.0155,0.5665,False
bivariate,kappa+phi,0.5,0.75,0.354741444498852,0.015,0.5755,False
bivariate,kappa+phi,0.5,1.0,0.3543728862345397,0.0135,0.594,False
bivariate,kappa+phi,0.5,1.5,0.34461453654166047,0.009,0.607,False
bivariate,kappa+phi,0.5,2.0,0.3406887901778232,0.0115,0.6125,False
bivariate,kappa+phi,0.75,0.5,0.25215096001773657,0.008,0.5885,False
bivariate,kappa+phi,0.75,0.75,0.2546763205916839,0.0065,0.6035,False
bivariate,kappa+phi,0.75,1.0,0.24735669655909936,0.0075,0.6145,False
bivariate,kappa+phi,0.75,1.5,0.2436778570946406,0.009,0.629,False
bivariate,kappa+phi,0.75,2.0,0.248702727439659,0.005,0.641,False
bivariate,kappa+phi,1.0,0.5,0.21199476584108295,0.0055,0.609,False
bivariate,kappa+phi,1.0,0.75,0.20064717566108745,0.0035,0.6165,False
bivariate,kappa+phi,1.0,1.0,0.19838487025573293,0.005,0.6305,False
bivariate,kappa+phi,1.0,1.5,0.2051962498419629,0.0025,0.6505,False
bivariate,kappa+phi,1.0,2.0,0.20357257060937142,0.003,0.687,False
bivariate,kappa+phi,1.5,0.5,0.15034475079959117,0.0025,0.6425,False
bivariate,kappa+phi,1.5,0.75,0.15226218566525684,0.0045,0.6665,False
bivariate,kappa+phi,1.5,1.0,0.1593966346796718,0.001,0.679,False
bivariate,kappa+phi,1.5,1.5,0.14439168899374727,0.0,0.7185,False
bivariate,kappa+phi,1.5,2.0,0.14803454423478735,0.0005,0.74,False
bivariate,kappa+phi,2.0,0.5,0.12279540274029227,0.0,0.679,False
bivariate,kappa+phi,2.0,0.75,0.13714161430785154,0.0,0.6925,False
bivariate,kappa+phi,2.0,1.0,0.12504539007968243,0.0,0.722,False
bivariate,kappa+phi,2.0,1.5,0.12032777368343568,0.001,0.7545,False
bivariate,kappa+phi,2.0,2.0,0.11612002781957935,0.0005,0.7795,False
bivariate,xi+alpha,0.5,0.5,0.1732516607729214,0.0115,0.6125,False
bivariate,xi+alpha,0.5,0.75,0.17495467731404593,0.0135,0.6105,False
bivariate,xi+alpha,0.5,1.0,0.1714421828703649,0.037,0.626,False
bivariate,xi+alpha,0.5,1.5,0.17472604202225625,0.142,0.7295,False
bivariate,xi+alpha,0.5,2.0,0.17463406816947769,0.131,0.7375,False
bivariate,xi+alpha,0.75,0.5,0.18503387872160096,0.0015,0.6125,False
bivariate,xi+alpha,0.75,0.75,0.19020380044485355,0.007,0.6185,False
bivariate,xi+alpha,0.75,1.0,0.18650018074905164,0.007,0.6335,False
bivariate,xi+alpha,0.75,1.5,0.18627877376826715,0.026,0.647,False
bivariate,xi+alpha,0.75,2.0,0.1845545819138483,0.113,0.7485,False
bivariate,xi+alpha,1.0,0.5,0.19682535515023414,0.0005,0.6125,False
bivariate,xi+alpha,1.0,0.75,0.20201765815513958,0.0015,0.6185,False
bivariate,xi+alpha,1.0,1.0,0.19838487025573293,0.005,0.6305,False
bivariate,xi+alpha,1.0,1.5,0.20065277433070525,0.0065,0.651,False
bivariate,xi+alpha,1.0,2.0,0.19579299716395096,0.0255,0.6685,False
bivariate,xi+alpha,1.5,0.5,0.22044482667774323,0.0,0.6125,False
bivariate,xi+alpha,1.5,0.75,0.225722004644076,0.0,0.6185,False
bivariate,xi+alpha,1.5,1.0,0.22252629617687722,0.0,0.631,False
bivariate,xi+alpha,1.5,1.5,0.22064334278682057,0.0035,0.658,False
bivariate,xi+alpha,1.5,2.0,0.21722250801176685,0.003,0.68,False
bivariate,xi+alpha,2.0,0.5,0.24405982662466622,0.0,0.6125,False
bivariate,xi+alpha,2.0,0.75,0.2494195826143031,0.0,0.6185,False
bivariate,xi+alpha,2.0,1.0,0.2463004893681672,0.0,0.631,False
bivariate,xi+alpha,2.0,1.5,0.24498135946053282,0.0005,0.66,False
bivariate,xi+alpha,2.0,2.0,0.24211233816937652,0.0,0.679,False
