panel,agent,sweep_value,seed,mo_per_path,terminal_mean,premium_vs_twap,clearance_prob,value_err_rmse
c,A_tabular,default,0,0.0,300.10893306204986,0.15888114274776372,0.95,nan
c,B_ddqn,default,0,0.0,299.97111133314394,0.021059413841818468,0.0,nan
c,A_tabular,default,1,0.025,300.11385986026545,0.14981212797310378,0.965,nan
c,B_ddqn,default,1,0.0,300.1904318366331,0.22638410434072712,0.785,nan
c,A_tabular,default,2,0.12,300.0895593753609,0.13567022947175417,0.915,nan
c,B_ddqn,default,2,0.55,300.02190306804073,0.06801392215156653,0.0,nan
c,A_tabular,forced_mo_5pct,0,0.04,300.1010538591206,0.15100193981847723,1.0,nan
c,B_ddqn,forced_mo_5pct,0,0.0,300.1168484679877,0.16679654868559965,0.975,nan
c,A_tabular,forced_mo_5pct,1,0.31,300.0960019090013,0.13195417670891488,1.0,nan
c,B_ddqn,forced_mo_5pct,1,0.0,300.11474558841144,0.15069785611903,0.29,nan
c,A_tabular,forced_mo_5pct,2,0.0,300.05915920547943,0.10527005959035364,1.0,nan
c,B_ddqn,forced_mo_5pct,2,0.0,300.12227920267014,0.16839005678099625,0.255,nan
